"Tag Number","Gender","Date of Birth","Breed","Date Moved In","TB Test Date"
"372217339040794","FEMALE","04/03/2017","AAX","","29/06/2017"
"372217339050795","FEMALE","06/03/2017","AAX","","29/06/2017"
"372217339060796","FEMALE","07/03/2017","AAX","","29/06/2017"
"372217339070797","FEMALE","07/03/2017","AAX","","29/06/2017"
"372217339080798","MALE","07/03/2017","AAX","","29/06/2017"
"372217339090799","MALE","08/03/2017","AAX","","29/06/2017"
"372217339010800","FEMALE","09/03/2017","AAX","","29/06/2017"
"372217339020801","MALE","09/03/2017","AAX","","29/06/2017"
"372217339030802","FEMALE","09/03/2017","AAX","","29/06/2017"
"372217339040803","FEMALE","11/03/2017","AAX","","29/06/2017"
"372217339050804","MALE","11/03/2017","AAX","","29/06/2017"
"372217339060805","FEMALE","12/03/2017","AAX","","29/06/2017"
"372217339070806","MALE","13/03/2017","AAX","","29/06/2017"
"372217339080807","FEMALE","14/03/2017","AAX","","29/06/2017"
"372217339090808","FEMALE","16/03/2017","AAX","","29/06/2017"
"372217339010809","FEMALE","17/03/2017","AAX","","29/06/2017"
"372217339030810","FEMALE","19/03/2017","AAX","","29/06/2017"
"372217339040811","FEMALE","26/03/2017","AAX","","29/06/2017"
"372217339050812","FEMALE","06/04/2017","AAX","","29/06/2017"
"372217339060813","MALE","06/04/2017","AAX","","29/06/2017"
"372217339070814","MALE","22/04/2017","AAX","","29/06/2017"
"372217339080815","MALE","05/05/2017","AAX","","29/06/2017"
"372217339090816","MALE","06/05/2017","AAX","","29/06/2017"
"372217339010817","MALE","06/05/2017","AAX","","29/06/2017"
"372217339020818","MALE","13/05/2017","AAX","","29/06/2017"
"372217339030819","MALE","31/05/2017","AAX","","29/06/2017"
"IE121104480352","FEMALE","19/04/2006","LMX","20/12/2009","29/06/2017"
"IE121730370156","FEMALE","17/03/2014","CHX","27/03/2015","29/06/2017"
"IE131768690342","FEMALE","15/03/2014","LMX","01/04/2015","29/06/2017"
"IE131787360391","FEMALE","01/02/2014","LMX","01/04/2015","29/06/2017"
"IE141640780126","MALE","09/09/2012","AA","12/04/2014","29/06/2017"
"IE161474030159","FEMALE","10/07/2010","LMX","12/04/2012","29/06/2017"
"IE182413040591","FEMALE","08/02/2014","LM","01/04/2015","29/06/2017"
"IE191000270341","FEMALE","20/02/2005","SIX","10/08/2007","29/06/2017"
"IE251263060342","FEMALE","13/01/2014","LMX","01/04/2015","29/06/2017"
"IE251263070343","FEMALE","14/01/2014","LMX","01/04/2015","29/06/2017"
"IE251289950469","FEMALE","30/07/2006","CHX","","29/06/2017"
"IE251289950510","FEMALE","09/03/2008","SIX","","29/06/2017"
"IE251289940550","FEMALE","16/04/2009","SIX","","29/06/2017"
"IE251289980562","FEMALE","25/05/2009","SIX","","29/06/2017"
"IE251289960569","FEMALE","10/03/2010","SIX","","29/06/2017"
"IE251289930574","FEMALE","01/05/2010","SIX","","29/06/2017"
"IE251289960585","FEMALE","25/04/2010","SIX","","29/06/2017"
"IE251289990596","FEMALE","16/03/2011","SIX","","29/06/2017"
"IE251289950601","FEMALE","19/03/2011","SIX","","29/06/2017"
"IE251289950618","FEMALE","07/03/2012","SIX","","29/06/2017"
"IE251289930624","FEMALE","02/04/2012","AAX","","29/06/2017"
"IE251289910630","FEMALE","27/03/2012","AAX","","29/06/2017"
"IE251289960643","FEMALE","01/05/2012","AAX","","29/06/2017"
"IE251289980645","FEMALE","10/07/2012","AAX","","29/06/2017"
"IE251289970702","FEMALE","21/02/2014","AAX","","29/06/2017"
"IE251289970710","FEMALE","17/03/2014","AAX","","29/06/2017"
"IE251289960718","FEMALE","22/03/2014","AAX","","29/06/2017"
"IE251289910754","FEMALE","26/02/2016","AAX","","29/06/2017"
"IE251289920755","FEMALE","29/02/2016","AAX","","29/06/2017"
"IE251289930756","FEMALE","01/03/2016","AAX","","29/06/2017"
"IE251289950758","MALE","04/03/2016","AAX","","29/06/2017"
"IE251289960759","MALE","04/03/2016","AAX","","29/06/2017"
"IE251289980760","FEMALE","06/03/2016","AAX","","29/06/2017"
"IE251289990761","MALE","06/03/2016","AAX","","29/06/2017"
"IE251289910762","FEMALE","06/03/2016","AAX","","29/06/2017"
"IE251289920763","MALE","09/03/2016","AAX","","29/06/2017"
"IE251289930764","FEMALE","09/03/2016","AAX","","29/06/2017"
"IE251289940765","FEMALE","10/03/2016","AAX","","29/06/2017"
"IE251289950766","FEMALE","10/03/2016","AAX","","29/06/2017"
"IE251289960767","MALE","12/03/2016","AAX","","29/06/2017"
"IE251289970768","MALE","12/03/2016","AAX","","29/06/2017"
"IE251289980769","MALE","13/03/2016","AAX","","29/06/2017"
"IE251289910770","FEMALE","15/03/2016","AAX","","29/06/2017"
"IE251289920771","FEMALE","15/03/2016","AAX","","29/06/2017"
"IE251289930772","MALE","16/03/2016","AAX","","29/06/2017"
"IE251289940773","FEMALE","17/03/2016","AAX","","29/06/2017"
"IE251289950774","MALE","17/03/2016","AAX","","29/06/2017"
"IE251289960775","MALE","18/03/2016","AAX","","29/06/2017"
"IE251289970776","MALE","22/03/2016","AAX","","29/06/2017"
"IE251289980777","FEMALE","24/03/2016","AAX","","29/06/2017"
"IE251289990778","MALE","24/03/2016","AAX","","29/06/2017"
"IE251289910779","FEMALE","25/03/2016","AAX","","29/06/2017"
"IE251289930780","MALE","01/04/2016","AAX","","29/06/2017"
"IE251289940781","MALE","01/04/2016","AAX","","29/06/2017"
"IE251289950782","FEMALE","09/04/2016","AAX","","29/06/2017"
"IE251289960783","FEMALE","02/04/2016","AAX","","29/06/2017"
"IE251289970784","MALE","02/05/2016","AAX","","29/06/2017"
"IE251289980785","FEMALE","09/06/2016","AAX","","29/06/2017"
"IE251289990786","FEMALE","09/06/2016","AAX","","29/06/2017"
"IE251289930789","FEMALE","25/02/2017","AAX","","29/06/2017"
"IE251289950790","MALE","26/02/2017","AAX","","29/06/2017"
"IE251289960791","MALE","26/02/2017","AAX","","29/06/2017"
"IE251289970792","MALE","26/02/2017","AAX","","29/06/2017"
"IE251289980793","FEMALE","04/03/2017","AAX","","29/06/2017"
"IE251360641576","FEMALE","28/05/2013","LMX","01/04/2015","29/06/2017"
"IE281166520192","FEMALE","21/05/2010","LM","12/04/2012","29/06/2017"
"IE321501050283","FEMALE","03/04/2009","LMX","28/08/2010","29/06/2017"
"IE341195531156","FEMALE","08/12/2013","LMX","01/04/2015","29/06/2017"
"IE361397520360","FEMALE","16/03/2005","CHX","10/08/2007","29/06/2017"